[[FileName]],[[Language]],[[Probability]]
battle,fr,0.999998677081065
battle_00001,tr,0.999998461597837
battle_00002,ru,0.999999999928575
battle_00003,en,0.999996556155553
battle_00004,zh-cn,0.999996924746075
battle_00005,pl,0.999999641259149
battle_00006,zh-tw,0.999996787042189
battle_00007,fr,0.713475829957189
battle_00008,de,0.999998194695946
battleEvents,fr,0.999995864377754
battleEvents_00001,zh-tw,0.999997668231638
battleEvents_00002,pl,0.999997484835102
battleEvents_00003,fr,0.999997754073528
battleEvents_00004,tr,0.999999643653857
battleEvents_00005,ru,0.999999989136858
battleEvents_00006,en,0.999995246062577
battleEvents_00007,zh-cn,0.99999785798052
battleEvents_00008,de,0.999996401321901
blueprints,ru,0.999999999983451
blueprints_00001,de,0.999997642073813
blueprints_00002,zh-tw,0.999997967474792
blueprints_00003,en,0.999996097365541
blueprints_00004,zh-cn,0.999999739801093
blueprints_00005,tr,0.999997793741059
blueprints_00006,pl,0.999998431438105
blueprints_00007,fr,0.999995218912957
blueprints_00008,fr,0.999996616222406
challenges,en,0.99999837904584
challenges_00001,zh-cn,0.999999253089608
challenges_00002,fr,0.8571400401469
challenges_00003,ru,0.999999999903554
challenges_00004,de,0.999999133463419
challenges_00005,tr,0.999997891803514
challenges_00006,pl,0.999998720703915
challenges_00007,zh-tw,0.99999720569505
challenges_00008,fr,0.999997994782935
challengesGroups,en,0.999996718025512
challengesGroups_00001,zh-tw,0.999998597909113
challengesGroups_00002,tr,0.99999810297381
challengesGroups_00003,ru,0.999999999558968
challengesGroups_00004,zh-cn,0.99999887938366
challengesGroups_00005,pl,0.999998234138963
challengesGroups_00006,fr,0.999998606222819
challengesGroups_00007,de,0.999997647505469
challengesGroups_00008,de,0.571427153463497
commands,ru,0.99999999491732
commands_00001,de,0.999996065123534
commands_00002,pl,0.999998839849774
commands_00003,fr,0.857140001356991
commands_00004,fr,0.99999358978371
commands_00005,tr,0.999998974738141
commands_00006,zh-cn,0.999999015672863
commands_00007,en,0.999996401461486
commands_00008,zh-tw,0.999997002217139
crafting,ru,0.999999985798697
crafting_00001,fr,0.999998106628975
crafting_00002,en,0.999997103737262
crafting_00003,pl,0.999999382684396
crafting_00004,tr,0.999998454179015
crafting_00005,de,0.999995277319824
crafting_00006,zh-tw,0.999997265800556
crafting_00007,zh-cn,0.999995090275592
exploration,zh-cn,0.999998359468315
exploration_00001,de,0.999997908135789
exploration_00002,fr,0.999996953957841
exploration_00003,ru,0.999999999923132
exploration_00004,pl,0.999997817540923
exploration_00005,zh-tw,0.99999697891448
exploration_00006,fr,0.999996086465047
exploration_00007,tr,0.999998652810072
exploration_00008,en,0.999996781827425
heroes,tr,0.999998348533634
heroes_00001,pl,0.99999758411255
heroes_00002,zh-tw,0.99999643243167
heroes_00003,fr,0.999995754417453
heroes_00004,fr,0.999996300674909
heroes_00005,zh-cn,0.999999877219854
heroes_00006,ru,0.999999970574902
heroes_00007,de,0.999996776777774
heroes_00008,en,0.999996224803582
items,de,0.999994771291047
items_00001,zh-tw,0.99999834908123
items_00002,pl,0.999997208584311
items_00003,en,0.999997115427385
items_00004,fr,0.999995952347083
items_00005,ru,0.999999998663242
items_00006,zh-cn,0.999997985022171
items_00007,tr,0.999999380283868
items_00008,fr,0.999997375475951
itemUpgrades,zh-cn,0.999998300291172
itemUpgrades_00001,pl,0.999998805760826
itemUpgrades_00002,de,0.999998980851541
itemUpgrades_00003,ru,0.999999999396482
itemUpgrades_00004,fr,0.999996653943784
itemUpgrades_00005,en,0.999996605082903
itemUpgrades_00006,tr,0.999998992064226
itemUpgrades_00007,zh-tw,0.999997378602258
itemUpgrades_00008,fr,0.99999750207079
keycodes,fr,0.999994492863929
keycodes_00001,,0.999997969195431
keycodes_00002,tr,0.999997690584069
keycodes_00003,,0.999997098138685
keycodes_00004,pl,0.9999980452152
keycodes_00005,zh-tw,0.713716222755692
keycodes_00006,zh-cn,0.999996669687865
keycodes_00007,en,0.99999531816844
keycodes_00008,,0.999996912641335
main,en,0.999998640283678
main_00001,fr,0.857141530811404
main_00002,de,0.999997818210255
main_00003,pl,0.999996424877625
main_00004,ru,0.999999994392379
main_00005,fr,0.999996268215072
main_00006,tr,0.999999584805407
main_00007,zh-cn,0.999997813483471
main_00008,zh-tw,0.999997796741435
mobs,zh-tw,0.999997183857745
mobs_00001,ru,0.999999999113494
mobs_00002,tr,0.999998692410439
mobs_00003,fr,0.999993997460659
mobs_00004,zh-cn,0.99999899173257
mobs_00005,de,0.99999792644191
mobs_00006,en,0.99999746078607
mobs_00007,pl,0.99999948834736
mobs_00008,fr,0.999996951736248
party.alignment,zh-cn,0.999996507945945
