[[EntryType]],[[Speaker]],[[*English*]],[[*Japanese*]],[[*MT*]],[[メモ]],[[管理用メモ]],[[*FileID*]],[[*Key*]],[[No]],[[SpeakerType]],14.89%
,,for {0} seconds,,{0}秒間,,,battle_00003,ui_effect_for_seconds_arg1,1,,
,,<nobr>for {0} s</nobr>,,<NOBR> {0}のための</ NOBR>,,,battle_00003,ui_effect_for_seconds_short_arg1,2,,
,,Rage,,激怒,,,battle_00003,battle_unit_effect_rage_arg0,3,,
,,Blinded,ブラインド,盲検,,,battle_00003,battle_unit_effect_blinded_arg0,4,,1
,,Stunned,,唖然,,,battle_00003,battle_unit_effect_stunned_arg0,5,,
,,Dazed,,ボーッ,,,battle_00003,battle_unit_effect_dazed_arg0,6,,
,,Invulnerable,,不死身の,,,battle_00003,battle_unit_effect_invulnerable_arg0,7,,
,,Frozen,,フローズン,,,battle_00003,battle_unit_effect_freeze_arg0,8,,
,,Immobilized,,固定化,,,battle_00003,battle_unit_effect_immobilized_arg0,9,,
,,Immovable,,不動の,,,battle_00003,battle_unit_effect_immovable_arg0,10,,
,,Slow {0},,遅い{0},,,battle_00003,battle_unit_effect_slowed_arg1,11,,
,,Damaged <b>{0}</b> HP/s,,損傷を受けた<B> {0} </ B> HP /秒,,,battle_00003,battle_unit_effect_damaged_arg1,12,,
,,Burning <b>{0}</b> HP/s,バーニング <b>{0}</b> HP/s,燃焼<B> {0} </ B> HP /秒,,,battle_00003,battle_unit_effect_burning_arg1,13,,1
,,Poisoned <b>{0}</b> HP/s,,毒<B> {0} </ B> HP /秒,,,battle_00003,battle_unit_effect_poisoned_arg1,14,,
,,Elemental resistance -<b>{0}</b>,,元素抵抗 -  <B> {0} </ B>,,,battle_00003,battle_unit_effect_elementalweakness_arg1,15,,
,,Weakness <b>{0}</b>,,弱<B> {0} </ B>,,,battle_00003,battle_unit_effect_weakness_arg1,16,,
,,Marked <b>{0}</b> damage received,,受信マーク<B> {0} </ B>損傷,,,battle_00003,battle_unit_effect_marked_arg1,17,,
,,Healing <b>{0}</b> HP/s,,<B> {0} </ B> HP / sの治癒,,,battle_00003,battle_unit_effect_healing_arg1,18,,
,,Drain <b>{0}</b> HP/s,,ドレイン<B> {0} </ B> HP /秒,,,battle_00003,battle_unit_effect_draininghealth_arg1,19,,
,,Drain <b>{0}</b> Mana/s,,ドレイン<B> {0} </ B>マナ/秒,,,battle_00003,battle_unit_effect_drainingmana_arg1,20,,
,,Bleeding <b>{0}</b> HP/s,出血 <b>{0}</b> HP/s,<B> {0} </ B> HP / sの出血,,,battle_00003,battle_unit_effect_bleeding_arg1,21,,1
